Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
269,5,10,12,3,0,0.03,0,0.97,0,37
270,5,11,12,3,0,0,0,1,0,14
271,5,12,12,2,0,0,0,0.94,0.06,18
272,5,13,12,3,0.07,0,0,0.93,0,15
273,5,14,16,0,0,0,0,0,0,0
274,5,15,14,0,0,0,0,1,0,3
275,5,16,14,6,0,0.06,0.24,0.67,0.03,33
276,5,17,14,5,0.22,0.04,0.15,0.59,0,27
277,5,18,14,6,0.05,0.02,0.09,0.76,0.07,55
278,5,19,13,6,0.02,0,0.04,0.89,0.04,47
279,5,20,13,5,0,0,0.13,0.81,0.06,53
280,5,21,13,5,0,0,0.21,0.69,0.1,29
281,5,22,16,0,0,0,0,0,0,0
282,5,23,17,4,0,0.23,0,0.77,0,13
283,6,0,17,4,0,0.21,0,0.79,0,56
284,6,1,17,4,0,0.22,0,0.78,0,58
285,6,2,17,4,0,0.33,0,0.63,0.03,30
286,6,3,17,2,0,0,0,1,0,14
287,6,4,17,3,0,0,0,1,0,29
288,6,5,17,2,0,0,0,1,0,12
289,6,6,16,0,0,0,0,0,0,0
290,6,7,13,2,0,0.7,0,0.3,0,20
291,6,8,13,3,0,0.17,0,0.83,0,36
292,6,9,13,2,0,0,0,1,0,28
293,6,10,13,4,0,0.03,0,0.77,0.2,30
294,6,11,13,3,0,0.09,0,0.91,0,11
295,6,12,12,3,0,0,0,1,0,14
296,6,13,11,2,0,0,0,1,0,16
297,6,14,16,0,0,0,0,0,0,0
298,6,15,14,3,0,0.64,0,0.36,0,11
299,6,16,14,4,0.1,0.27,0.06,0.57,0,49
300,6,17,14,4,0.1,0,0.15,0.76,0,41
301,6,18,14,4,0.03,0,0.18,0.8,0,40
302,6,19,13,2,0,0,0,0.97,0.03,32
303,6,20,13,2,0,0,0,1,0,32
304,6,21,13,2,0,0,0,1,0,17
305,6,22,16,0,1,0,0,0,0,6
306,6,23,14,3,0.36,0.28,0,0.36,0,25
307,7,0,14,3,0,0.31,0,0.54,0.14,35
308,7,1,14,3,0,0.07,0.04,0.63,0.26,27
309,7,2,14,3,0,0,0.14,0.14,0.71,7
310,7,3,14,0,0,0,0,1,0,6
311,7,4,14,2,0,0,0,1,0,24
312,7,5,14,2,0,0,0,1,0,2
313,7,6,5,0,0,0,0,0,0,0
314,7,7,5,2,0,0,0,0.93,0.07,15
315,7,8,5,3,0.04,0,0,0.96,0,24
316,7,9,5,3,0.28,0,0,0.72,0,18
317,7,10,5,3,0.28,0,0,0.72,0,18
318,7,11,5,3,0.14,0,0.04,0.82,0,28
319,7,12,5,3,0,0,0.24,0.76,0,25
320,7,13,5,0,0,0,0,0,0,0
321,7,14,3,0,0,0,0,0,0,0
322,7,15,3,0,0,0,0,0,0,0
323,7,16,3,0,0,0,0,0,0,0
324,7,17,3,0,0,0,0,0,0,0
325,7,18,3,0,0,0,0,0,0,0
326,7,19,3,0,0,0,0,0,0,0
327,7,20,3,0,0,0,0,0,0,0
328,7,21,3,0,0,0,0,0,0,0
329,7,22,14,0,0,0,0,0,0,0
330,7,23,14,0,0,0,0,0,0,0
331,1,0,14,3,0.17,0.54,0,0.29,0,35
332,1,1,14,3,0.19,0.04,0.23,0.54,0,26
333,1,2,14,3,0.14,0,0.27,0.59,0,22
334,1,3,14,2,0,0,0.06,0.94,0,16
335,1,4,14,2,0.4,0,0,0.6,0,15
336,1,5,14,0,0,0,0,0,0,0
337,1,6,3,0,0,0,0,0,0,0
338,1,7,3,0,0,0,0,0,0,0
339,1,8,3,0,0,0,0,0,0,0
340,1,9,3,0,0,0,0,0,0,0
341,1,10,3,0,0,0,0,0,0,0
342,1,11,3,0,0,0,0,0,0,0
343,1,12,3,0,0,0,0,0,0,0
344,1,13,3,0,0,0,0,0,0,0
345,1,14,3,0,0,0,0,0,0,0
346,1,15,3,0,0,0,0,0,0,0
347,1,16,3,0,0,0,0,0,0,0
348,1,17,3,0,0,0,0,0,0,0
349,1,18,3,0,0,0,0,0,0,0
350,1,19,3,0,0,0,0,0,0,0
351,1,20,3,0,0,0,0,0,0,0
352,1,21,3,0,0,0,0,0,0,0
353,1,22,7,0,0,0,0,0,0,0
354,1,23,7,0,0,0,0,0,0,0
355,2,0,11,2,0,0,0.09,0.91,0,11
356,2,1,14,2,0,0,0.4,0.6,0,15
357,2,2,14,2,0,0,0.28,0.72,0,18
358,2,3,14,2,0,0,0.08,0.92,0,12
359,2,4,14,2,0,0,0.21,0.79,0,19
360,2,5,14,0,0,0,0,1,0,10
361,2,6,17,0,0,0,0,0,0,0
362,2,7,14,2,0.11,0.89,0,0,0,9
363,2,8,13,2,0,0.67,0.06,0.28,0,18
364,2,9,13,2,0,0.06,0.31,0.63,0,16
365,2,10,13,3,0.26,0,0.26,0.47,0,19
366,2,11,13,3,0,0,0.18,0.82,0,11
367,2,12,13,4,0,0,0.12,0.69,0.19,26
